Operation,Implementation,BatchSize,TotalTime_ns,PerItem_ns,ORM_Overhead_%
delete,orm,10,3285.3084396380136,328.5308439638014,34.8
delete,orm,100,4241.291304993285,42.41291304993285,26.0
delete,orm,1000,17736.242852072755,17.736242852072756,58.7
delete,sqlite3,10,2436.7720495331064,243.67720495331065,
delete,sqlite3,100,3366.726175822023,33.66726175822023,
delete,sqlite3,1000,11175.936308566908,11.175936308566909,
insert,orm,10,12791.826144560566,1279.1826144560566,47.9
insert,orm,100,89708.14249363876,897.0814249363876,46.4
insert,orm,1000,874933.4170854284,874.9334170854283,44.2
insert,orm,10000,8740716.049382726,874.0716049382726,45.4
insert,sqlite3,10,8649.046665182876,864.9046665182875,
insert,sqlite3,100,61283.23953570174,612.8323953570174,
insert,sqlite3,1000,606654.3103448271,606.6543103448271,
insert,sqlite3,10000,6013135.59322034,601.313559322034,
query,orm,10,4458.643166489627,445.8643166489627,18.9
query,orm,100,28243.35106382985,282.4335106382985,15.8
query,orm,1000,267675.2498078408,267.67524980784077,24.0
query,orm,10000,2669377.358490567,266.9377358490567,10.3
query,sqlite3,10,3749.637286906058,374.96372869060576,
query,sqlite3,100,24393.63191042687,243.9363191042687,
query,sqlite3,1000,215900.9840098399,215.9009840098399,
query,sqlite3,10000,2421060.0706713772,242.1060070671377,
update,orm,10,8753.63127042912,875.363127042912,71.0
update,orm,100,66250.35267562194,662.5035267562193,68.9
update,orm,1000,671184.2610365116,671.1842610365117,62.0
update,sqlite3,10,5117.719999993824,511.7719999993824,
update,sqlite3,100,39217.61571761377,392.17615717613774,
update,sqlite3,1000,414199.8831092304,414.19988310923037,
